Datos sueño;;;;;
Sonidos Sleep Cycle iPhone;;;;;
Fecha ;inicio;final ;calidad;roncar;out of batery
26-2-2018;2353;700;62;;
27-2-2018;2333;626;62;0;
28-2-2018;2312;658;74;0;
1-3-2018;2326;657;80;;
2-3-2018;248;633;33;45;
3-3-2018;;;;;
4-3-2018;;;;;
5-3-2018;;;;;
6-3-2018;2216;629;72;1;
7-3-2018;42;630;69;;
8-3-2018;;;;;
9-3-2018;2201;807;68;22;
10-3-2018;218;801;57;6;
11-3-2018;2350;820;85;16;
12-3-2018;2355;700;79;;
13-3-2018;2325;718;83;2;
14-3-2018;2219;700;94;;
15-3-2018;2335;725;85;;
16-3-2018;2307;725;91;;
17-3-2018;;;;;
18-3-2018;2340;812;88;;
19-3-2018;2319;700;83;;
20-3-2018;2341;700;73;;
21-3-2018;2318;204;0;0;*
22-3-2018;2348;700;82;;
23-3-2018;119;659;38;50;
24-3-2018;45;837;57;128;
25-3-2018;706;1059;26;21;
26-3-2018;106;748;73;;
27-3-2018;4;737;76;;
28-3-2018;;;;;
29-3-2018;2351;844;92;;
30-3-2018;28;740;75;;
31-3-2018;2352;815;92;;
1-4-2018;46;817;81;;
2-4-2018;6;806;88;;
3-4-2018;2358;731;85;;
4-4-2018;;;;;
5-4-2018;17;620;67;;
6-4-2018;;;;;
7-4-2018;30;919;80;19;
8-4-2018;;;;;
9-4-2018;5;730;83;;
10-4-2018;227;730;51;;
11-4-2018;21;720;75;;
12-4-2018;2344;204;11;;*
13-4-2018;;;;;
14-4-2018;;;;;
15-4-2018;;;;;
16-4-2018;2;720;79;;
17-4-2018;519;720;22;;
18-4-2018;39;700;69;;
19-4-2018;;;;;
20-4-2018;32;737;65;125;
21-4-2018;108;832;69;43;
22-4-2018;2356;912;83;7;
23-4-2018;18;730;80;;
24-4-2018;23;709;71;;
25-4-2018;2329;628;77;6;
26-4-2018;14;658;73;;
27-4-2018;34;704;69;1;
28-4-2018;2356;736;83;;
29-4-2018;2330;708;83;1;
30-4-2018;;;;;
1-5-2018;;;;;
2-5-2018;;;;;
3-5-2018;13;715;72;3;
4-5-2018;48;826;69;;
5-5-2018;12;800;84;9;
6-5-2018;;;;;
7-5-2018;20;725;70;5;
8-5-2018;2341;725;82;4;
9-5-2018;2322;715;86;;
10-5-2018;;;;;
11-5-2018;;;;;
12-5-2018;;;;;
13-5-2018;2252;801;92;5;
14-5-2018;33;725;73;;
15-5-2018;43;725;71;6;
16-5-2018;2342;625;0;0;*
17-5-2018;2337;712;78;;
18-5-2018;;;;;
19-5-2018;41;959;87;50;
20-5-2018;;;;;
21-5-2018;2;641;71;;
22-5-2018;2344;714;84;;
23-5-2018;2345;725;75;1;
24-5-2018;;;;;
25-5-2018;;;;;
26-5-2018;2;459;54;;
27-5-2018;;;;;
28-5-2018;;;;;
29-5-2018;2321;655;82;;
30-5-2018;20;725;66;;
31-5-2018;2330;454;0;0;*
1-6-2018;4;725;62;34;
2-6-2018;38;924;66;103;
3-6-2018;2328;900;98;44;
4-6-2018;2331;710;83;;
5-6-2018;2325;655;78;5;
6-6-2018;2;655;70;;
7-6-2018;14;655;69;;
8-6-2018;2322;700;79;;
9-6-2018;2304;728;89;;
10-6-2018;2325;831;89;;
11-6-2018;2340;655;73;;
12-6-2018;2319;655;80;;
13-6-2018;36;641;67;;
14-6-2018;2348;636;75;1;
15-6-2018;;;;;
16-6-2018;;;;;
17-6-2018;;;;;
18-6-2018;;;;;
19-6-2018;32;634;63;;
20-6-2018;2354;634;66;;
21-6-2018;2328;634;76;;
22-6-2018;2339;634;73;;
23-6-2018;2316;744;75;;
24-6-2018;12;835;86;;
25-6-2018;13;635;70;;
26-6-2018;31;635;62;;
27-6-2018;18;635;69;;
28-6-2018;51;635;59;;
29-6-2018;;;;;
30-6-2018;;;;;
1-7-2018;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
