"","Fecha","inicio","final","profundo","ligero","despierto","dia_semana","duracion_minutos"
"1","29-5-2018",18,651,51,542,0,"Tuesday",393
"2","30-5-2018",27,730,104,529,30,"Wednesday",393
"3","31-5-2018",2305,613,29,548,0,"Thursday",377
"4","1-6-2018",45,804,36,645,0,"Friday",441
"5","2-6-2018",115,531,23,353,0,"Saturday",256
"6","3-6-2018",11,847,58,715,23,"Sunday",493
"7","4-6-2018",12,639,30,557,0,"Monday",387
"8","5-6-2018",2344,700,107,609,0,"Tuesday",436
"9","6-6-2018",16,542,24,502,0,"Wednesday",326
"10","7-6-2018",25,452,31,356,0,"Thursday",267
"11","8-6-2018",2336,655,56,623,0,"Friday",439
"12","9-6-2018",20,711,17,634,0,"Saturday",411
"13","10-6-2018",2355,652,34,606,17,"Sunday",400
"14","11-6-2018",18,720,48,529,45,"Monday",377
"15","12-6-2018",1136,635,159,500,0,"Tuesday",419
"16","13-6-2018",45,637,42,510,0,"Wednesday",352
"17","14-6-2018",4,636,123,509,0,"Thursday",392
"18","15-6-2018",NA,NA,NA,NA,NA,"Friday",NA
"19","16-6-2018",15,856,218,623,0,"Saturday",521
"20","17-6-2018",144,1135,244,707,0,"Sunday",591
"21","18-6-2018",1050,626,134,546,16,"Monday",440
"22","19-6-2018",38,633,114,441,0,"Tuesday",355
"23","20-6-2018",3,653,201,449,0,"Wednesday",410
"24","21-6-2018",1120,630,54,616,0,"Thursday",430
"25","22-6-2018",34,633,50,509,0,"Friday",359
"26","23-6-2018",1127,717,145,602,3,"Saturday",467
"27","24-6-2018",22,832,48,722,0,"Sunday",490
"28","25-6-2018",21,635,52,522,0,"Monday",374
"29","26-6-2018",1138,557,43,532,4,"Tuesday",375
"30","27-6-2018",NA,NA,NA,NA,NA,"Wednesday",NA
"31","28-6-2018",59,611,31,411,0,"Thursday",282
"32","29-6-2018",NA,NA,NA,NA,NA,"Friday",NA
"33","30-6-2018",NA,NA,NA,NA,NA,"Saturday",NA
"34","1-7-2018",NA,NA,NA,NA,NA,"Sunday",NA
"35","2-7-2018",NA,NA,NA,NA,NA,"Monday",NA
"36","3-7-2018",NA,NA,NA,NA,NA,"Tuesday",NA
"37","4-7-2018",NA,NA,NA,NA,NA,"Wednesday",NA
